GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	sample	COV
63	354	89	18	0.899847	0.095384	aDNA	37.4064082301372
64	323	83	17	0.919724	0.100953	aDNA	38.2326900051394
65	249	61	17	0.876824	0.112266	aDNA	36.4493480447029
66	158	33	18	0.747547	0.130131	aDNA	31.0753364218743
67	90	17	17	0.676065	0.16397	aDNA	28.1038480765149
68	21	1	15	0.170436	0.170436	aDNA	7.08498066128092
69	5	2	19	1.431666	1.012341	aDNA	59.5139872058334
70	3	0	0	0	0	aDNA	0
71	5	2	16	1.431666	1.012341	aDNA	59.5139872058334
72	4	1	19	0.894791	0.894791	aDNA	37.1962316112102
73	5	1	19	0.715833	0.715833	aDNA	29.7569936029167
74	5	2	16	1.431666	1.012341	aDNA	59.5139872058334
75	4	2	17	1.789583	1.265426	aDNA	74.392504792163
76	9	4	17	1.59074	0.79537	aDNA	66.126652450926
77	9	1	15	0.397685	0.397685	aDNA	16.5316631127315
78	3	0	0	0	0	aDNA	0
79	9	4	18	1.59074	0.79537	aDNA	66.126652450926
80	3	2	16	2.38611	1.687235	aDNA	99.1899786763889
81	1	0	0	0	0	aDNA	0
82	3	0	0	0	0	aDNA	0
83	1	0	0	0	0	aDNA	0
84	2	0	0	0	0	aDNA	0
85	1	0	0	0	0	aDNA	0
86	5	0	0	0	0	aDNA	0
87	2	0	0	0	0	aDNA	0
88	0	0	0	0	0	aDNA	0
89	0	0	0	0	0	aDNA	0
90	0	0	0	0	0	aDNA	0
91	0	0	0	0	0	aDNA	0
92	0	0	0	0	0	aDNA	0
93	0	0	0	0	0	aDNA	0
94	0	0	0	0	0	aDNA	0
95	0	0	0	0	0	aDNA	0
96	0	0	0	0	0	aDNA	0
97	0	0	0	0	0	aDNA	0
98	0	0	0	0	0	aDNA	0
99	0	0	0	0	0	aDNA	0
100	0	0	0	0	0	aDNA	0
0	134	4230	17	103.79329	1.595876	mcDNA	4694.20349589514
1	128	27	15	0.693566	0.133477	mcDNA	31.367537745783
2	284	46	16	0.532566	0.078523	mcDNA	24.0860770382641
3	334	83	17	0.817081	0.089686	mcDNA	36.9536844494427
4	586	125	16	0.701368	0.062732	mcDNA	31.7203946180816
5	881	195	16	0.727767	0.052116	mcDNA	32.9143280417946
6	1734	429	17	0.813471	0.039275	mcDNA	36.7904169143238
7	3729	1003	17	0.884387	0.027925	mcDNA	39.9976968368978
8	8141	2165	19	0.874407	0.018793	mcDNA	39.5463367259596
9	16808	4600	20	0.899861	0.013268	mcDNA	40.697531141172
10	34763	15879	14	1.501895	0.011919	mcDNA	67.9254001821064
11	69810	21411	19	1.008447	0.006892	mcDNA	45.6084919634493
12	130051	39350	19	0.994866	0.005015	mcDNA	44.9942713555685
13	225313	67523	20	0.98537	0.003792	mcDNA	44.5648008532169
14	366008	108144	21	0.971506	0.002954	mcDNA	43.9377811560179
15	556676	175511	19	1.036658	0.002474	mcDNA	46.8843757399699
16	800615	239264	22	0.982624	0.002009	mcDNA	44.4406089830129
17	1090671	327596	22	0.987594	0.001725	mcDNA	44.6653845092015
18	1418273	426051	22	0.987724	0.001513	mcDNA	44.6712639495244
19	1774919	531501	22	0.984599	0.001351	mcDNA	44.529931249456
20	2152468	644037	22	0.983802	0.001226	mcDNA	44.4938857576306
21	2542014	761476	22	0.984945	0.001129	mcDNA	44.5455796060076
22	2928897	881354	22	0.989418	0.001054	mcDNA	44.7478775795774
23	3296894	998608	22	0.995918	0.000997	mcDNA	45.0418495957194
24	3640966	1100751	23	0.994045	0.000947	mcDNA	44.9571404286065
25	3947965	1193192	23	0.993735	0.00091	mcDNA	44.9431202247597
26	4186891	1266320	23	0.994456	0.000884	mcDNA	44.9757285053195
27	4342177	1315507	23	0.996138	0.000869	mcDNA	45.0517994178043
28	4398905	1331634	23	0.995346	0.000863	mcDNA	45.0159800582989
29	4357284	1321933	23	0.997533	0.000868	mcDNA	45.1148903351147
30	4224385	1284412	24	0.999711	0.000882	mcDNA	45.2133935737543
31	3994228	1213482	24	0.998928	0.000907	mcDNA	45.1779812524252
32	3689416	1123508	24	1.001272	0.000945	mcDNA	45.2839920840925
33	3323630	1018685	24	1.007769	0.000998	mcDNA	45.5778284208425
34	2921606	896826	24	1.0093	0.001066	mcDNA	45.6470701372599
35	2506143	775209	23	1.01706	0.001155	mcDNA	45.9980274980695
36	2088773	645800	23	1.016578	0.001265	mcDNA	45.976228342411
37	1692915	523047	23	1.015873	0.001405	mcDNA	45.9443436852756
38	1339228	413344	24	1.014824	0.001578	mcDNA	45.8969011245167
39	1030095	316527	24	1.010339	0.001796	mcDNA	45.6940604333786
40	762712	233815	24	1.007965	0.002085	mcDNA	45.5866928077908
41	551367	169037	24	1.008033	0.002452	mcDNA	45.5897682073442
42	391418	119964	24	1.007729	0.00291	mcDNA	45.5760193622816
43	267733	81631	24	1.002506	0.003509	mcDNA	45.3398015406954
44	178016	53867	24	0.994941	0.004287	mcDNA	44.9976633403701
45	115350	35105	24	1.000657	0.005341	mcDNA	45.256177808719
46	74972	22983	23	1.007955	0.006649	mcDNA	45.5862405431505
47	47573	15084	22	1.042533	0.008489	mcDNA	47.1500812160983
48	29860	9404	21	1.035515	0.010678	mcDNA	46.8326818915929
49	19161	6163	20	1.057567	0.013471	mcDNA	47.8300158762029
50	11935	4449	17	1.22567	0.018376	mcDNA	55.4327201576691
51	7172	3403	15	1.560111	0.026744	mcDNA	70.5583040116028
52	4961	3411	14	2.260717	0.038708	mcDNA	102.2442360641
53	3691	2241	14	1.996326	0.042171	mcDNA	90.286766014897
54	2984	2323	13	2.559671	0.053108	mcDNA	115.76486838929
55	1836	2700	12	4.835315	0.093056	mcDNA	218.684199881844
56	1510	2632	11	5.731161	0.111712	mcDNA	259.200146769968
57	1275	2587	11	6.671446	0.131166	mcDNA	301.72591249276
58	922	2515	10	8.968933	0.178843	mcDNA	405.633125638943
59	641	1705	10	8.74581	0.211806	mcDNA	395.542061306994
